"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline2","baseline2_007","Neg M C_1",22,"negative",,"manner",,"C","paper","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Neg P E_1",50,"negative",,"path",,"E","chair","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Aff M D_1",55,"affirmative",,"manner",,"D","plank","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Aff M A_1",59,"affirmative",,"manner",,"A","leaf","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Aff P C_1",92,"affirmative",,"path",,"C","paper","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_007","Neg 0 B_1",96,"negative",,"none",,"B","car","1",,34.4494799186674,,TRUE,
"baseline2","baseline2_008","Neg C E_1",0,"negative",,"conflated",,"E","chair","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Neg 0 C_1",0,"negative",,"none",,"C","paper","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Neg C A_1",0,"negative",,"conflated",,"A","leaf","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Neg M D_1",0,"negative",,"manner",,"D","plank","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Neg P B_1",1,"negative",,"path",,"B","car","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Aff M E_1",3,"affirmative",,"manner",,"E","chair","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Aff M B_1",18,"affirmative",,"manner",,"B","car","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Aff 0 A_1",50,"affirmative",,"none",,"A","leaf","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Aff 0 D_1",50,"affirmative",,"none",,"D","plank","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_008","Aff C C_1",80,"affirmative",,"conflated",,"C","paper","1",,29.1616186107699,,TRUE,
"baseline2","baseline2_009","Neg P A_1",9,"negative",,"path",,"A","leaf","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Neg C D_1",10,"negative",,"conflated",,"D","plank","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Neg M C_1",17,"negative",,"manner",,"C","paper","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Neg P E_1",24,"negative",,"path",,"E","chair","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Aff M A_1",26,"affirmative",,"manner",,"A","leaf","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Aff M D_1",27,"affirmative",,"manner",,"D","plank","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Aff P C_1",67,"affirmative",,"path",,"C","paper","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Neg 0 B_1",70,"negative",,"none",,"B","car","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Aff C E_1",83,"affirmative",,"conflated",,"E","chair","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_009","Aff C B_1",87,"affirmative",,"conflated",,"B","car","1",,31.0161248385416,,TRUE,
"baseline2","baseline2_010","Neg 0 E_1",0,"negative",,"none",,"E","chair","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Neg C C_1",0,"negative",,"conflated",,"C","paper","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Neg 0 A_1",1,"negative",,"none",,"A","leaf","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Aff C D_1",2,"affirmative",,"conflated",,"D","plank","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Aff 0 C_1",3,"affirmative",,"none",,"C","paper","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Neg M B_1",6,"negative",,"manner",,"B","car","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Aff C A_1",17,"affirmative",,"conflated",,"A","leaf","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Aff P E_1",76,"affirmative",,"path",,"E","chair","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Neg P D_1",84,"negative",,"path",,"D","plank","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_010","Aff P B_1",100,"affirmative",,"path",,"B","car","1",,40.5776347812985,,TRUE,
"baseline2","baseline2_011","Neg P C_1",13,"negative",,"path",,"C","paper","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Aff 0 B_1",18,"affirmative",,"none",,"B","car","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Aff M C_1",74,"affirmative",,"manner",,"C","paper","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Neg C B_1",89,"negative",,"conflated",,"B","car","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Aff P A_1",100,"affirmative",,"path",,"A","leaf","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Neg M E_1",100,"negative",,"manner",,"E","chair","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Aff 0 E_1",100,"affirmative",,"none",,"E","chair","1",,34.7153504311213,,TRUE,
"baseline2","baseline2_011","Aff P D_1",100,"affirmative",,"path",,"D","plank","1",,34.7153504311213,,TRUE,
