"study_id","participant_id","trial","rating","polarity","sentence_type","gesture_type","event_type","scenario_code","scenario","scenario_suffix","modifier_order","participant_sd","exclusion_threshold","included","exclusion_reason"
"baseline1","baseline1_010","Aff M B_1",100,"affirmative",,,"manner","B","car","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Neg 0 C_1",100,"negative",,,"no_motion","C","paper","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Aff P C_1",100,"affirmative",,,"path","C","paper","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_010","Aff P D_1",100,"affirmative",,,"path","D","plank","1",,51.6397779494322,,TRUE,
"baseline1","baseline1_011","Neg C E_1",0,"negative",,,"conflated","E","chair","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Neg P A_1",0,"negative",,,"path","A","leaf","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Aff 0 E_1",0,"affirmative",,,"no_motion","E","chair","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Neg M D_1",0,"negative",,,"manner","D","plank","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Neg P B_1",1,"negative",,,"path","B","car","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Aff M B_1",28,"affirmative",,,"manner","B","car","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Neg 0 C_1",66,"negative",,,"no_motion","C","paper","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Aff 0 A_1",68,"affirmative",,,"no_motion","A","leaf","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Aff P D_1",84,"affirmative",,,"path","D","plank","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_011","Aff P C_1",91,"affirmative",,,"path","C","paper","1",,38.9837573013856,,TRUE,
"baseline1","baseline1_012","Neg P E_1",0,"negative",,,"path","E","chair","1",,51.3187208639412,,TRUE,
"baseline1","baseline1_012","Aff 0 B_1",0,"affirmative",,,"no_motion","B","car","1",,51.3187208639412,,TRUE,
